OBJECTID,municipality,scenario,period,cdd,csdi,cwd,fd,prcptot,r10mm,r20mm,r95p,r95ptot,r99p,r99ptot,rx1day,rx5day,sdii,tn10p,tn90p,tnlt2,tnn,tnx,tx10p,tx90p,txd_tnd,txge30,txgt50p,txn,txx,wsdi
87.0,Steve Tshwete,ssp585,mid-term_2041-2060,6.8163323,-2.5609052,0.13596503,-4.159011164274322,13.912506,0.9059732664995798,0.5258771929824563,18.999361,2.3441546,12.788989,1.728922,2.3316813,4.467294,0.2358246278184429,-5.2913704,31.82887,-14.031439393939394,1.9226015,1.9354315,-4.4048715,23.707546,6.1330943,47.427628,21.108622,1.702416,2.4189713,41.002296
87.0,Steve Tshwete,ssp585,near-term_2021-2040,3.8072078,-0.75317,-0.27117792,-2.4617623604465706,10.911743,0.5984335839598979,0.4711152882205516,17.555737,2.3046153,10.934152,1.5391333,2.67764,3.7526894,0.16993724791675366,-1.3714639,15.1834955,-7.841666666666666,0.8744372,0.8818137,-0.66465825,12.631836,2.001256,21.303751,10.654533,0.73790663,1.0170784,16.572536
88.0,Emakhazeni,ssp126,far-term_2081-2100,4.00468,-1.2886037,0.09644808,-3.1044805194805187,2.879255,-0.28317490153955865,0.2073388829215897,9.021291,0.9616315,8.062551,0.9184761,1.6045004,5.137317,0.11702674421428101,-2.3616924,18.658794,-8.799967532467528,0.65023506,0.3980988,-1.7098379,15.422644,2.4000514,20.193312,13.280874,0.9179715,1.567433,20.39855
88.0,Emakhazeni,ssp126,mid-term_2041-2060,3.1718297,-1.0903894,-0.12640885,-3.2373376623376617,2.8485892,-0.2499606158252752,0.12198174006444683,6.324102,0.6269519,5.6819205,0.6465052,1.5367911,3.0007367,0.05823760119666473,-2.1502173,17.619087,-8.822467532467533,0.6625789,0.271283,-1.5129732,14.071843,2.052194,17.816168,12.356963,0.7593877,1.36143,17.03652
88.0,Emakhazeni,ssp126,near-term_2021-2040,2.1657605,-0.028603554,-0.15819494,-2.2109090909090905,12.603202,-0.021746330110992522,0.16948174006444702,10.052398,1.0080041,8.795374,1.0161146,1.5979108,5.7030683,0.09192720283533731,-0.55841064,12.838202,-5.937467532467534,0.18208537,-0.05116027,-0.049105234,10.476069,1.2686226,11.519382,8.772415,0.46350166,0.9249589,11.524865
88.0,Emakhazeni,ssp245,far-term_2081-2100,4.9001985,-3.0909088,0.4092369,-5.111363636363636,9.228446,-0.07540279269602479,0.4695667740780527,20.514883,2.1240275,16.20695,1.8064455,3.0491464,6.4394584,0.18641660245337505,-6.0925274,36.478256,-15.875974025974026,2.2672322,2.1954093,-5.2337036,26.882929,7.28879,42.58877,24.013292,1.9597185,2.972585,45.76051
88.0,Emakhazeni,ssp245,mid-term_2041-2060,1.4505354,-2.0155842,-0.16933468,-3.9172077922077926,2.851545,0.024257071249555246,0.4083422842821344,16.11523,1.8171532,13.953602,1.6564521,2.69921,6.71378,0.1919790219488675,-3.6123083,22.910637,-11.903246753246753,1.3175954,1.3754834,-2.652277,17.527422,3.3679085,24.436361,15.796781,1.1498594,1.7447788,23.659328
88.0,Emakhazeni,ssp245,near-term_2021-2040,4.620759,-0.52775085,-0.0042660576,-2.4673444976076553,-0.27328926,-0.22317490153956193,0.22769602577873232,7.6926074,0.93602806,6.9278746,0.8257386,1.651243,3.090913,0.11910886896825026,-0.6060348,12.960817,-6.829118250170881,0.74347675,0.70391166,-0.102411546,10.645871,1.3839105,12.02382,8.726113,0.54493916,0.90992194,12.0360365
88.0,Emakhazeni,ssp370,far-term_2081-2100,11.445737,-3.4393575,0.42855304,-6.101623376623377,-7.045262,-0.5455245255997129,0.6114930182599355,26.337893,3.075175,20.804495,2.4308765,4.132656,8.376669,0.3635649562425978,-8.434053,58.935978,-20.135642135642133,3.7185276,3.064243,-6.9274597,38.811356,15.08775,71.55101,31.096003,2.953729,4.4393735,84.695435
88.0,Emakhazeni,ssp370,mid-term_2041-2060,6.0250597,-2.6841989,-0.30866447,-5.015909090909091,-11.840332,-1.152291442892945,0.2716433941997853,14.0466175,1.8971745,11.406232,1.4455322,2.6372135,5.429501,0.15522013851607777,-4.9162397,28.71417,-15.023340548340547,1.6853473,1.0653875,-3.0861058,18.975986,4.2218766,25.847038,17.14183,1.178552,1.9743205,26.120834
88.0,Emakhazeni,ssp370,near-term_2021-2040,3.3509996,-1.133802,-0.071446694,-3.5631313131313127,0.8400792,-0.16131399928392298,0.28216970998925917,8.960211,0.98097354,6.210172,0.7025166,1.1605219,3.7777765,0.13332094121604715,-1.6921471,15.587397,-9.463023088023087,0.8156835,0.14742088,-0.12600899,10.697453,1.561956,11.8406925,8.547291,0.5883183,0.83737457,11.286708
88.0,Emakhazeni,ssp585,far-term_2081-2100,9.9032545,-3.4889607,0.28848866,-6.146103896103895,9.321917,-0.2890082348728968,1.0790905836018616,45.072857,4.999135,34.488358,3.9503891,5.9461966,14.892154,0.5322476426234914,-8.952747,64.74513,-20.56331168831169,4.5032277,4.5576997,-7.9279532,48.550533,19.449076,99.88928,36.512524,3.6895542,5.792693,124.3828
88.0,Emakhazeni,ssp585,mid-term_2041-2060,5.216519,-2.679682,-0.17103468,-4.8119958988380045,11.155378,0.24296455424275315,0.7304511278195492,22.613312,2.3966258,15.41342,1.7498077,2.532529,6.21816,0.26592212976764784,-5.3006268,31.662216,-15.027409432672588,1.8891963,1.8902566,-4.0867896,22.315887,5.6601505,33.044003,20.131273,1.565777,2.4111798,32.773613
88.0,Emakhazeni,ssp585,near-term_2021-2040,3.9716237,-1.1904817,-0.5516469,-2.7996069719753924,6.9272985,-0.08458646616541492,0.5063014679556037,17.38682,1.9321182,10.622731,1.2519124,2.6425884,5.9619317,0.18263952108094209,-1.4626826,15.287237,-8.281459330143539,0.88858134,0.81119674,-0.5299267,12.074841,1.8215823,14.015911,10.19516,0.6742754,0.97187585,13.191299
89.0,Thembisile,ssp126,far-term_2081-2100,8.66303,-1.3590909,0.34345913,-0.8449242424242424,-0.06506348,-0.06729949874686743,0.15383667502088563,5.7311044,0.88523483,4.3276253,0.6968042,0.89831287,2.3632786,0.07188352520338981,-2.4231007,18.143501,-4.392651515151516,0.57508105,0.47083727,-2.0006173,16.639242,2.6798766,37.195396,14.276879,1.0296062,1.6042633,28.41955
89.0,Thembisile,ssp126,mid-term_2041-2060,7.063871,-1.026591,0.17179234,-1.023257575757576,3.6473591,-0.32896616541353413,0.14133667502088532,8.147868,1.1708971,6.1985946,0.98309296,1.9149736,2.4985275,0.04732158877960391,-2.2209594,16.972271,-4.519318181818182,0.5660809,0.2837607,-1.8623422,14.905599,2.1840432,32.37622,13.132781,0.8888655,1.4149361,23.600252
